id,lng,lat,topic,sentiment,temperature_avg
1.08E+18,-80.14,26.12,Impact of Resource Overconsumption,-0.78,0.57
1.08E+18,-79.38,43.65,Weather Extremes,0.72,8.55
1.08E+18,-77.05,38.8,Seriousness of Gas Emissions,-0.15,3.87
1.08E+18,-84.68,43.62,Seriousness of Gas Emissions,-0.23,8.26
1.08E+18,-81.69,41.51,Weather Extremes,-0.44,7.79
1.08E+18,-73.92,41.25,Seriousness of Gas Emissions,-0.23,1.63
1.08E+18,-104.82,38.83,Weather Extremes,0.71,2.54
1.08E+18,-112.07,33.45,Seriousness of Gas Emissions,-0.23,0.45
1.08E+18,135.63,-30.53,Impact of Resource Overconsumption,-0.72,-2.11
1.08E+18,-4.11,56.79,Seriousness of Gas Emissions,-0.23,4.96
1.08E+18,-78.49,37.12,Seriousness of Gas Emissions,-0.15,4.31
1.08E+18,-75.69,45.42,Weather Extremes,0.54,7.12
1.08E+18,-77.2,39.14,Weather Extremes,-0.66,3.62
1.08E+18,-75.14,38.77,Seriousness of Gas Emissions,0.52,2.6
1.08E+18,-2.36,51.38,Weather Extremes,-0.63,4.72
1.08E+18,-79.38,43.65,Weather Extremes,0.45,8.55
1.08E+18,-104.82,38.83,Seriousness of Gas Emissions,-0.24,2.54
1.08E+18,-87.91,43.04,Weather Extremes,-0.67,6.37
1.08E+18,-81.98,26.61,Weather Extremes,-0.39,0.41
1.08E+18,-71.45,43,Weather Extremes,-0.37,2.21
1.08E+18,-83.11,32.33,Weather Extremes,0.05,2.34
1.08E+18,-86.83,33.26,Weather Extremes,-0.46,2.48
1.08E+18,-82.36,36.3,Impact of Resource Overconsumption,0.15,3.86
1.08E+18,-75.06,39.8,Seriousness of Gas Emissions,-0.15,2.08
1.08E+18,-111.76,34.4,Weather Extremes,-0.7,0.74
1.08E+18,-87.44,46.56,Weather Extremes,0,5.17
1.08E+18,-99.21,26.93,Weather Extremes,-0.69,2.11
1.08E+18,-2.5,9.76,Seriousness of Gas Emissions,-0.4,1.08
1.08E+18,-74.01,40.71,Impact of Resource Overconsumption,-0.35,1.44
1.08E+18,-76.75,39,Impact of Resource Overconsumption,-0.16,2.74
1.08E+18,-119.71,36.73,Seriousness of Gas Emissions,-0.23,-3.13
1.08E+18,-76.45,41,Weather Extremes,0.49,5.49
1.08E+18,-116.78,34.69,Weather Extremes,0.07,-0.96
1.08E+18,-120.74,43.98,Weather Extremes,0.03,-4.29
1.08E+18,-82.05,26.93,Weather Extremes,-0.37,0.28
1.08E+18,-75.7,45.41,Weather Extremes,-0.4,7.12
1.08E+18,-72.9,41.4,Seriousness of Gas Emissions,0.17,0.81
1.08E+18,175.15,-40.86,Seriousness of Gas Emissions,0.31,-2.3
1.08E+18,-106.65,35.08,Weather Extremes,-0.24,2.31
1.08E+18,-77.46,37.55,Impact of Resource Overconsumption,-0.35,4.19
1.08E+18,-77.2,39.14,Seriousness of Gas Emissions,-0.24,3.62
1.08E+18,-86.01,34.01,Weather Extremes,-0.41,2.83
1.08E+18,-79.38,43.65,Seriousness of Gas Emissions,-0.15,8.55
1.08E+18,151.78,-32.93,Seriousness of Gas Emissions,-0.26,-1.99
1.08E+18,-71.06,42.36,Weather Extremes,0.53,2.21
1.08E+18,-76.93,38.89,Impact of Resource Overconsumption,-0.63,3.2
1.08E+18,-121.49,38.58,Weather Extremes,-0.61,-4.01
1.08E+18,-73.95,40.65,Weather Extremes,-0.03,0.77
1.08E+18,-118.14,34.15,Weather Extremes,0.03,-3.13
1.08E+18,-74.01,40.71,Weather Extremes,-0.54,1.44
1.08E+18,-96.79,46.88,Weather Extremes,-0.37,3.7
1.08E+18,-111.47,57.65,Impact of Resource Overconsumption,-0.57,-2.05
1.08E+18,-104.62,50.45,Weather Extremes,-0.37,1.31
1.08E+18,-82.69,40.23,Seriousness of Gas Emissions,-0.47,7.41
1.08E+18,106.82,-6.4,Seriousness of Gas Emissions,0.1,0.47
1.08E+18,-115.15,36.17,Impact of Resource Overconsumption,-0.79,0.92
1.08E+18,150.89,-34.42,Impact of Resource Overconsumption,0.47,-1.51
1.08E+18,-79.07,43.1,Seriousness of Gas Emissions,0.9,8.55
1.08E+18,-83.63,41.56,Weather Extremes,-0.4,7.85
1.08E+18,-123.36,48.43,Weather Extremes,0.49,-1.34
1.08E+18,-75.7,45.48,Seriousness of Gas Emissions,0.34,7.12
1.08E+18,-85.48,32.61,Seriousness of Gas Emissions,-0.82,2.31
1.08E+18,-64.8,46.09,Impact of Resource Overconsumption,0.32,2.7
1.08E+18,-122.67,45.63,Impact of Resource Overconsumption,-0.35,-2.63
1.08E+18,-104.82,38.83,Weather Extremes,-0.72,2.54
1.08E+18,-106.65,35.08,Weather Extremes,0.53,2.31
1.08E+18,-112.24,33.58,Weather Extremes,0.06,0.45
1.08E+18,-2.88,53.57,Impact of Resource Overconsumption,0.49,5.14
1.08E+18,-74.03,40.74,Weather Extremes,-0.38,1.44
1.08E+18,-112.07,33.45,Weather Extremes,0.31,0.45
1.08E+18,-79.38,43.65,Seriousness of Gas Emissions,0.4,8.55
1.08E+18,-77.04,38.9,Seriousness of Gas Emissions,-0.15,3.87
1.08E+18,-73.87,40.85,Weather Extremes,0.4,0.77
1.08E+18,-83.63,42.93,Weather Extremes,-0.58,8.26
1.08E+18,-118.24,34.05,Weather Extremes,-0.04,-3.13
1.08E+18,-118.14,34.15,Weather Extremes,-0.55,-3.13
1.08E+18,151.21,-33.87,Seriousness of Gas Emissions,-0.9,-1.34
1.08E+18,-156.45,20.76,Weather Extremes,-0.81,0.31
1.08E+18,-80.82,35.24,Weather Extremes,-0.36,3.54
1.08E+18,-111.5,34.5,Weather Extremes,-0.37,0.74
1.08E+18,138.68,-34.76,Seriousness of Gas Emissions,-0.24,-1.06
1.08E+18,-83.11,32.33,Weather Extremes,-0.01,2.34
1.08E+18,-71.06,42.36,Weather Extremes,0.58,2.21
1.08E+18,-118.24,34.05,Weather Extremes,-0.87,-3.13
1.08E+18,-71.06,42.36,Weather Extremes,0.65,2.21
1.08E+18,-115.17,36.12,Weather Extremes,0.52,0.92
1.08E+18,-78.74,44.36,Impact of Resource Overconsumption,0.08,8.37
1.08E+18,-75.7,45.41,Impact of Resource Overconsumption,0.82,7.12
1.08E+18,21.01,52.23,Seriousness of Gas Emissions,-0.68,7.69
1.08E+18,-81.46,27.76,Weather Extremes,-0.5,0.4
1.08E+18,-113.81,53.24,Seriousness of Gas Emissions,-0.3,-4.02
1.08E+18,151.21,-33.87,Impact of Resource Overconsumption,-0.65,-1.34
1.08E+18,-98.5,29.42,Weather Extremes,-0.04,3
1.08E+18,-123.12,49.25,Impact of Resource Overconsumption,-0.37,-1.23
1.08E+18,-92.5,34.75,Weather Extremes,-0.69,4.84
1.08E+18,-114.06,51.05,Seriousness of Gas Emissions,-0.55,-2.9
1.08E+18,-77.04,38.9,Weather Extremes,-0.24,3.87
1.08E+18,-99.51,31.82,Impact of Resource Overconsumption,-0.63,5.15
1.08E+18,-113.47,53.55,Impact of Resource Overconsumption,0.82,-4.02
1.08E+18,-118.24,34.04,Weather Extremes,0.53,-3.13
1.08E+18,-114.09,51.05,Seriousness of Gas Emissions,0.48,-2.9
1.08E+18,-77.04,38.9,Weather Extremes,-0.37,3.87
1.08E+18,-89.75,32.75,Weather Extremes,-0.45,3.26
1.08E+18,-71.76,42.19,Weather Extremes,0.16,2.21
1.08E+18,-71.11,42.37,Weather Extremes,-0.35,2.21
1.08E+18,-118.76,36.7,Impact of Resource Overconsumption,-0.39,-1.84
1.08E+18,-86.78,36.17,Weather Extremes,-0.31,4.01
1.08E+18,-118.76,36.7,Weather Extremes,-0.38,-1.84
1.08E+18,-111.76,34.4,Weather Extremes,0.24,0.74
1.08E+18,-122.33,47.6,Weather Extremes,0.07,-2.37
1.08E+18,-116.85,34.26,Seriousness of Gas Emissions,-0.15,-0.96
1.08E+18,-122.33,47.61,Weather Extremes,-0.24,-2.37
1.08E+18,31.05,-17.83,Seriousness of Gas Emissions,0.4,-0.13
1.08E+18,-122.19,47.61,Weather Extremes,0.23,-2.37
1.08E+18,-105.61,38.73,Weather Extremes,-0.19,2.54
1.08E+18,168.15,-45.47,Impact of Resource Overconsumption,-0.3,-2.29
1.08E+18,-114.09,51.05,Seriousness of Gas Emissions,0.49,-2.9
1.08E+18,-0.13,51.51,Weather Extremes,0.45,4.06
1.08E+18,144.96,-37.81,Weather Extremes,-0.38,-2.29
1.08E+18,-149.89,61.22,Weather Extremes,-0.45,-2.19
1.08E+18,-1.26,52.53,Seriousness of Gas Emissions,-0.08,4.85
1.08E+18,-84.39,33.75,Weather Extremes,0.5,2.57
1.08E+18,-106.65,35.08,Seriousness of Gas Emissions,0.5,2.31
1.08E+18,153.11,-27.22,Weather Extremes,-0.38,-2.41
1.08E+18,-0.13,51.51,Seriousness of Gas Emissions,0.9,4.06
1.08E+18,-87.65,41.85,Weather Extremes,-0.55,6.62
1.08E+18,-8.47,51.9,Seriousness of Gas Emissions,-0.65,3.84
1.08E+18,-82.5,28.75,Weather Extremes,0.24,0.36
1.08E+18,-122.33,47.61,Impact of Resource Overconsumption,-0.29,-2.37
1.08E+18,-83.92,35.96,Weather Extremes,-0.33,3.27
1.08E+18,-80.24,26.31,Impact of Resource Overconsumption,0.01,0.57
1.08E+18,-120.5,44,Seriousness of Gas Emissions,-0.24,-3.73
1.08E+18,-71.06,42.36,Weather Extremes,-0.18,2.21
1.08E+18,-117.69,34.01,Seriousness of Gas Emissions,-0.24,-1.98
1.08E+18,145,-20,Weather Extremes,0.48,-3.04
1.08E+18,-118.24,34.05,Impact of Resource Overconsumption,-0.07,-3.13
1.08E+18,-118.91,34.17,Impact of Resource Overconsumption,-0.57,-3.13
1.08E+18,-118.49,34.02,Impact of Resource Overconsumption,-0.15,-3.13
1.08E+18,-113.51,53.54,Impact of Resource Overconsumption,0.82,-4.02
1.08E+18,144.58,-22.16,Weather Extremes,0.71,-3.5
1.08E+18,-77.04,38.9,Seriousness of Gas Emissions,-0.24,3.87
1.08E+18,-117.16,32.72,Weather Extremes,-0.31,-1.44
1.08E+18,-2.16,55.89,Impact of Resource Overconsumption,0.3,4.86
1.08E+18,-116.78,34.69,Weather Extremes,0.56,-0.96
1.08E+18,-2.72,51.15,Weather Extremes,-0.68,4.72
1.08E+18,-81.33,40.96,Weather Extremes,-0.21,7.36
1.08E+18,-88.18,42.4,Weather Extremes,-0.7,6.29
1.08E+18,-80.13,25.79,Impact of Resource Overconsumption,-0.38,0.61
1.08E+18,-115,55,Seriousness of Gas Emissions,0.49,-2.65
1.08E+18,-112.71,52.32,Weather Extremes,-0.6,-3.88
1.08E+18,-90.25,38.63,Weather Extremes,-0.02,4.99
1.08E+18,-111.93,33.49,Weather Extremes,-0.37,0.77
1.08E+18,-90.05,35.15,Weather Extremes,-0.38,4.68
1.08E+18,-84.39,33.75,Weather Extremes,0.68,2.57
1.08E+18,-123.36,48.43,Weather Extremes,0.3,-1.34
1.08E+18,-65.96,18.38,Weather Extremes,-0.51,-0.16
1.08E+18,-104.98,39.74,Seriousness of Gas Emissions,0.33,2.73
1.08E+18,-94.58,39.1,Seriousness of Gas Emissions,-0.24,4.59
1.08E+18,-4.32,56.95,Weather Extremes,-0.48,4.96
1.08E+18,-79.42,43.7,Weather Extremes,-0.57,8.55
1.08E+18,-72.58,44.26,Weather Extremes,0.7,4.96
1.08E+18,153.03,-27.47,Impact of Resource Overconsumption,-0.14,-2.41
1.08E+18,-112.35,33.44,Weather Extremes,-0.38,0.45
1.08E+18,-75.16,39.95,Weather Extremes,-0.37,2.08
1.08E+18,-112.07,33.45,Weather Extremes,0.03,0.45
1.08E+18,-73.1,40.85,Weather Extremes,-0.68,0.77
1.08E+18,-111.76,34.4,Weather Extremes,0.04,0.74
1.08E+18,-86,50,Impact of Resource Overconsumption,-0.62,2.93
1.08E+18,-92.01,30.87,Seriousness of Gas Emissions,-0.24,3.06
1.08E+18,-112.19,33.54,Weather Extremes,0.04,0.45
1.08E+18,-97,32.75,Weather Extremes,-0.41,4.33
1.08E+18,-118.24,34.05,Seriousness of Gas Emissions,-0.01,-3.13
1.08E+18,-104.82,38.83,Weather Extremes,0.53,2.54
1.08E+18,-77.04,38.9,Seriousness of Gas Emissions,-0.26,3.87
1.08E+18,-123.09,44.05,Seriousness of Gas Emissions,0.2,-2.88
1.08E+18,25.04,60.29,Weather Extremes,-0.43,1.93
1.08E+18,151.22,-33.85,Seriousness of Gas Emissions,-0.6,-1.34
1.08E+18,144.96,-37.81,Impact of Resource Overconsumption,-0.45,-2.29
1.08E+18,73.5,-53.08,Weather Extremes,-0.38,0
1.08E+18,-74.01,40.71,Weather Extremes,-0.37,1.44
1.08E+18,-81.69,41.51,Weather Extremes,0.85,7.79
1.08E+18,-116.78,34.69,Weather Extremes,-0.2,-0.96
1.08E+18,36.83,-1.3,Weather Extremes,-0.66,0.46
1.08E+18,149.91,-36.89,Weather Extremes,-0.38,-1.87
1.08E+18,-87.83,42.13,Seriousness of Gas Emissions,-0.24,6.89
1.08E+18,-111.79,33.35,Weather Extremes,-0.15,0.77
1.08E+18,-118.76,36.7,Weather Extremes,-0.37,-1.84
1.08E+18,-75.69,45.42,Weather Extremes,-0.29,7.12
1.08E+18,-91.53,41.66,Weather Extremes,0.16,5.66
1.08E+18,-1.82,52.45,Weather Extremes,0.63,4.85
1.08E+18,2.35,48.86,Impact of Resource Overconsumption,0.41,4.04
1.08E+18,27.89,-26.22,Weather Extremes,-0.17,0.62
1.08E+18,-98.5,29.42,Weather Extremes,-0.06,3
1.08E+18,-73.75,42.65,Weather Extremes,0.75,3.67
1.08E+18,-8.63,52.66,Weather Extremes,-0.27,4.29
1.08E+18,-112.27,33.6,Weather Extremes,0.04,0.45
1.08E+18,-90.08,29.95,Weather Extremes,-0.15,2.61
1.08E+18,-90,44.5,Weather Extremes,-0.37,4.78
1.08E+18,-83,39.96,Weather Extremes,0.02,6.6
1.08E+18,-84.39,33.75,Weather Extremes,-0.4,2.57
1.08E+18,147.29,-31.88,Weather Extremes,0.52,-3.7
1.08E+18,-110.93,32.22,Seriousness of Gas Emissions,0.71,1.36
1.08E+18,-79.42,43.7,Weather Extremes,0.75,8.55
1.08E+18,-0.13,51.51,Weather Extremes,-0.51,4.06
1.08E+18,-83,39.96,Weather Extremes,0.53,6.75
1.08E+18,-122.28,37.78,Seriousness of Gas Emissions,-0.55,-3.58
1.08E+18,-89.38,43.07,Weather Extremes,0.36,5.34
1.08E+18,-121.81,38,Weather Extremes,-0.43,-4.01
1.08E+18,-120.74,43.98,Impact of Resource Overconsumption,-0.03,-4.29
1.08E+18,-120.5,44,Impact of Resource Overconsumption,-0.03,-3.73
1.08E+18,-82.32,29.65,Seriousness of Gas Emissions,-0.24,0.89
1.08E+18,138.6,-34.93,Weather Extremes,-0.38,-1.06
1.08E+18,-75.12,39.94,Weather Extremes,-0.57,2.08
1.08E+18,-86.25,40,Seriousness of Gas Emissions,-0.41,6.26
1.08E+18,2.35,48.86,Weather Extremes,-0.36,4.04
1.08E+18,-82.69,40.23,Weather Extremes,0.01,7.41
1.08E+18,-71.11,42.38,Seriousness of Gas Emissions,0.55,2.21
1.08E+18,-96.81,32.78,Seriousness of Gas Emissions,0.04,4.33
1.08E+18,-80,40.44,Weather Extremes,0.07,6.61
1.08E+18,-99.51,31.82,Impact of Resource Overconsumption,0.02,5.15
1.08E+18,-120.5,44,Impact of Resource Overconsumption,-0.23,-3.73
1.08E+18,-116.78,34.69,Weather Extremes,0.68,-0.96
1.08E+18,-89.64,39.8,Weather Extremes,0.2,5.61
1.08E+18,-83,40.25,Weather Extremes,-0.57,7.3
1.08E+18,-122.42,37.77,Weather Extremes,-0.22,-3.58
1.08E+18,-72.03,42.38,Seriousness of Gas Emissions,0.58,2.74
1.08E+18,-73.8,40.75,Weather Extremes,-0.37,0.77
1.08E+18,144.96,-37.81,Weather Extremes,-0.36,-2.29
1.08E+18,-77.73,40.97,Seriousness of Gas Emissions,0.04,4.99
1.08E+18,-4.49,48.39,Weather Extremes,0.53,2.87
1.08E+18,-113.47,53.55,Weather Extremes,0.44,-4.02
1.08E+18,-115.15,36.17,Seriousness of Gas Emissions,0.9,0.92
1.08E+18,-75.06,40.53,Impact of Resource Overconsumption,0.44,2.72
1.08E+18,-79.94,32.79,Weather Extremes,0,2.1
1.08E+18,-90.05,35.15,Weather Extremes,-0.2,4.68
1.08E+18,-97.52,35.47,Weather Extremes,0,4.2
